,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
112,17,12.885602182224357,3.2222222222222223,1.0,50,True,500,2,60,5,3,10,30,True,50
113,203,12.20339039013154,4.111111111111111,7.0,50,True,500,2,60,5,3,10,30,True,50
114,157,11.859266998739058,1.8888888888888888,6.0,50,True,500,2,60,5,3,10,30,True,50
115,278,12.031220048559645,1.8888888888888888,10.0,50,True,500,2,60,5,3,10,30,True,50
116,12,12.702949957962817,2.7777777777777777,1.0,50,True,500,2,60,5,3,10,30,True,50
117,277,11.280754265595869,1.8888888888888888,10.0,50,True,500,2,60,5,3,10,30,True,50
118,149,12.703690425530556,5.0,5.0,50,True,500,2,60,5,3,10,30,True,50
119,159,11.94497155363421,2.333333333333333,6.0,50,True,500,2,60,5,3,10,30,True,50
120,142,13.042697195377714,4.111111111111111,5.0,50,True,500,2,60,5,3,10,30,True,50
121,44,12.921177776793657,2.7777777777777777,2.0,50,True,500,2,60,5,3,10,30,True,50
122,109,12.98987252136563,3.6666666666666665,4.0,50,True,500,2,60,5,3,10,30,True,50
123,36,12.648806003720898,1.8888888888888888,2.0,50,True,500,2,60,5,3,10,30,True,50
124,102,12.839485599019053,2.7777777777777777,4.0,50,True,500,2,60,5,3,10,30,True,50
125,226,12.398979787693618,3.2222222222222223,8.0,50,True,500,2,60,5,3,10,30,True,50
126,21,12.94626488430292,4.111111111111111,1.0,50,True,500,2,60,5,3,10,30,True,50
127,151,11.527704394571437,1.0,6.0,50,True,500,2,60,5,3,10,30,True,50
128,137,12.498540591086531,3.2222222222222223,5.0,50,True,500,2,60,5,3,10,30,True,50
129,68,12.658613634990452,1.8888888888888888,3.0,50,True,500,2,60,5,3,10,30,True,50
130,208,12.412200362724956,5.0,7.0,50,True,500,2,60,5,3,10,30,True,50
131,292,12.12074933654467,4.111111111111111,10.0,50,True,500,2,60,5,3,10,30,True,50
132,246,11.58529249606529,1.8888888888888888,9.0,50,True,500,2,60,5,3,10,30,True,50
133,122,11.68229808689955,1.0,5.0,50,True,500,2,60,5,3,10,30,True,50
134,162,12.615052402120895,2.7777777777777777,6.0,50,True,500,2,60,5,3,10,30,True,50
135,185,11.901881923957985,1.4444444444444444,7.0,50,True,500,2,60,5,3,10,30,True,50
136,128,12.379086242650928,1.8888888888888888,5.0,50,True,500,2,60,5,3,10,30,True,50
137,173,12.207993771600238,4.111111111111111,6.0,50,True,500,2,60,5,3,10,30,True,50
138,280,11.621882071366564,2.333333333333333,10.0,50,True,500,2,60,5,3,10,30,True,50
139,156,12.443068473141736,1.8888888888888888,6.0,50,True,500,2,60,5,3,10,30,True,50
140,45,12.836945576749008,3.2222222222222223,2.0,50,True,500,2,60,5,3,10,30,True,50
141,232,12.282556024084133,4.111111111111111,8.0,50,True,500,2,60,5,3,10,30,True,50
142,141,12.459129336108225,4.111111111111111,5.0,50,True,500,2,60,5,3,10,30,True,50
143,113,12.413034852560159,4.111111111111111,4.0,50,True,500,2,60,5,3,10,30,True,50
144,240,12.020266547120876,1.0,9.0,50,True,500,2,60,5,3,10,30,True,50
145,170,12.613536696639407,3.6666666666666665,6.0,50,True,500,2,60,5,3,10,30,True,50
146,74,13.224415642040096,2.7777777777777777,3.0,50,True,500,2,60,5,3,10,30,True,50
147,204,12.446478361798672,4.555555555555555,7.0,50,True,500,2,60,5,3,10,30,True,50
148,4,12.903957222282292,1.4444444444444444,1.0,50,True,500,2,60,5,3,10,30,True,50
149,273,12.018821837749183,1.4444444444444444,10.0,50,True,500,2,60,5,3,10,30,True,50
150,242,12.101601369851105,1.0,9.0,50,True,500,2,60,5,3,10,30,True,50
151,92,12.244065167196311,1.0,4.0,50,True,500,2,60,5,3,10,30,True,50
152,119,12.765571607328283,5.0,4.0,50,True,500,2,60,5,3,10,30,True,50
153,264,12.489199874259276,4.555555555555555,9.0,50,True,500,2,60,5,3,10,30,True,50
154,105,12.577576328683232,3.2222222222222223,4.0,50,True,500,2,60,5,3,10,30,True,50
155,32,12.287016994466308,1.0,2.0,50,True,500,2,60,5,3,10,30,True,50
156,271,11.8029961182447,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
157,89,12.87642974237297,5.0,3.0,50,True,500,2,60,5,3,10,30,True,50
158,133,12.1934697046582,2.7777777777777777,5.0,50,True,500,2,60,5,3,10,30,True,50
159,288,12.09632091755487,3.6666666666666665,10.0,50,True,500,2,60,5,3,10,30,True,50
160,83,12.642906283918867,4.111111111111111,3.0,50,True,500,2,60,5,3,10,30,True,50
161,54,13.003654527460908,4.555555555555555,2.0,50,True,500,2,60,5,3,10,30,True,50
162,76,12.824849392774121,3.2222222222222223,3.0,50,True,500,2,60,5,3,10,30,True,50
163,9,12.638286353726949,2.333333333333333,1.0,50,True,500,2,60,5,3,10,30,True,50
164,30,12.323423881879357,1.0,2.0,50,True,500,2,60,5,3,10,30,True,50
165,239,12.672361281968561,5.0,8.0,50,True,500,2,60,5,3,10,30,True,50
166,126,11.904567797133831,1.8888888888888888,5.0,50,True,500,2,60,5,3,10,30,True,50
167,43,12.655343547632437,2.7777777777777777,2.0,50,True,500,2,60,5,3,10,30,True,50
168,197,12.344011944473428,3.2222222222222223,7.0,50,True,500,2,60,5,3,10,30,True,50
169,110,12.624221763891992,3.6666666666666665,4.0,50,True,500,2,60,5,3,10,30,True,50
170,177,12.783687516096338,5.0,6.0,50,True,500,2,60,5,3,10,30,True,50
171,257,12.17713972436403,3.2222222222222223,9.0,50,True,500,2,60,5,3,10,30,True,50
172,22,12.840093503463544,4.111111111111111,1.0,50,True,500,2,60,5,3,10,30,True,50
173,140,12.718045567734528,3.6666666666666665,5.0,50,True,500,2,60,5,3,10,30,True,50
174,84,12.737961979545123,4.555555555555555,3.0,50,True,500,2,60,5,3,10,30,True,50
175,269,11.949947424971228,5.0,9.0,50,True,500,2,60,5,3,10,30,True,50
176,213,11.998669610161043,1.4444444444444444,8.0,50,True,500,2,60,5,3,10,30,True,50
177,258,11.762439166388527,3.6666666666666665,9.0,50,True,500,2,60,5,3,10,30,True,50
178,161,12.240245672626406,2.333333333333333,6.0,50,True,500,2,60,5,3,10,30,True,50
179,166,12.340513877546314,3.2222222222222223,6.0,50,True,500,2,60,5,3,10,30,True,50
180,188,11.728231857853775,1.8888888888888888,7.0,50,True,500,2,60,5,3,10,30,True,50
181,0,12.894709121127717,1.0,1.0,50,True,500,2,60,5,3,10,30,True,50
182,279,12.19251786313838,2.333333333333333,10.0,50,True,500,2,60,5,3,10,30,True,50
183,252,11.793929046085385,2.7777777777777777,9.0,50,True,500,2,60,5,3,10,30,True,50
184,153,11.624924473510656,1.4444444444444444,6.0,50,True,500,2,60,5,3,10,30,True,50
185,135,12.478132611713452,3.2222222222222223,5.0,50,True,500,2,60,5,3,10,30,True,50
186,221,11.906060626549692,2.333333333333333,8.0,50,True,500,2,60,5,3,10,30,True,50
187,198,12.052116681720708,3.6666666666666665,7.0,50,True,500,2,60,5,3,10,30,True,50
188,60,12.101314618495085,1.0,3.0,50,True,500,2,60,5,3,10,30,True,50
189,116,13.20245726227733,4.555555555555555,4.0,50,True,500,2,60,5,3,10,30,True,50
190,145,12.3224770268579,4.555555555555555,5.0,50,True,500,2,60,5,3,10,30,True,50
191,129,12.339881498150605,2.333333333333333,5.0,50,True,500,2,60,5,3,10,30,True,50
192,272,11.290365980172878,1.0,10.0,50,True,500,2,60,5,3,10,30,True,50
193,183,11.949717274336454,1.4444444444444444,7.0,50,True,500,2,60,5,3,10,30,True,50
194,16,13.112226217413998,3.2222222222222223,1.0,50,True,500,2,60,5,3,10,30,True,50
195,7,12.823691358694434,1.8888888888888888,1.0,50,True,500,2,60,5,3,10,30,True,50
196,13,13.37619382417285,2.7777777777777777,1.0,50,True,500,2,60,5,3,10,30,True,50
197,216,11.801714010965673,1.8888888888888888,8.0,50,True,500,2,60,5,3,10,30,True,50
198,148,12.540995254918704,5.0,5.0,50,True,500,2,60,5,3,10,30,True,50
199,245,11.778098450828047,1.4444444444444444,9.0,50,True,500,2,60,5,3,10,30,True,50
200,143,13.009074703078754,4.111111111111111,5.0,50,True,500,2,60,5,3,10,30,True,50
201,261,12.008817868996735,4.111111111111111,9.0,50,True,500,2,60,5,3,10,30,True,50
202,106,13.062951686837135,3.2222222222222223,4.0,50,True,500,2,60,5,3,10,30,True,50
203,37,12.559520481102686,1.8888888888888888,2.0,50,True,500,2,60,5,3,10,30,True,50
204,101,12.339698456961855,2.333333333333333,4.0,50,True,500,2,60,5,3,10,30,True,50
205,227,12.135637867822856,3.2222222222222223,8.0,50,True,500,2,60,5,3,10,30,True,50
206,219,11.546211484095931,2.333333333333333,8.0,50,True,500,2,60,5,3,10,30,True,50
