,Run,Wealth,ex_ratio,height,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,width
720,122,5428.128982202251,3,50,500,2,60,5,3,10,30,50
721,106,5420.03811318991,1,50,500,2,60,5,3,10,30,50
722,672,5343.177738483587,8,50,500,7,60,5,3,10,30,50
723,261,5354.042787019714,7,50,500,3,60,5,3,10,30,50
724,320,5366.856167570833,3,50,500,4,60,5,3,10,30,50
725,732,5383.963780708075,4,50,500,8,60,5,3,10,30,50
726,165,5340.977504292906,7,50,500,2,60,5,3,10,30,50
727,889,5391.983944591037,9,50,500,9,60,5,3,10,30,50
728,920,5386.48963164036,3,50,500,10,60,5,3,10,30,50
729,807,5399.05884357912,1,50,500,9,60,5,3,10,30,50
730,39,5423.181796271006,4,50,500,1,60,5,3,10,30,50
731,983,5391.23582527293,9,50,500,10,60,5,3,10,30,50
732,462,5333.2463065491675,7,50,500,5,60,5,3,10,30,50
733,679,5267.978807465352,8,50,500,7,60,5,3,10,30,50
734,671,5388.626190362273,8,50,500,7,60,5,3,10,30,50
735,945,5272.212676100288,5,50,500,10,60,5,3,10,30,50
736,102,5387.543997283921,1,50,500,2,60,5,3,10,30,50
737,365,5336.992645806841,7,50,500,4,60,5,3,10,30,50
738,77,5302.582249205821,8,50,500,1,60,5,3,10,30,50
739,471,5341.998427851535,8,50,500,5,60,5,3,10,30,50
740,183,5170.42599808181,9,50,500,2,60,5,3,10,30,50
741,689,5440.883660752539,9,50,500,7,60,5,3,10,30,50
742,852,5388.8899830479195,6,50,500,9,60,5,3,10,30,50
743,712,5245.47734975067,2,50,500,8,60,5,3,10,30,50
744,359,5390.003047796607,6,50,500,4,60,5,3,10,30,50
745,489,5259.835672135191,9,50,500,5,60,5,3,10,30,50
746,459,5345.842752873514,6,50,500,5,60,5,3,10,30,50
747,64,5288.6892802764,7,50,500,1,60,5,3,10,30,50
748,821,5308.29398045329,3,50,500,9,60,5,3,10,30,50
749,522,5346.314723803976,3,50,500,6,60,5,3,10,30,50
750,507,5524.907919257146,1,50,500,6,60,5,3,10,30,50
751,630,5350.833370329418,4,50,500,7,60,5,3,10,30,50
752,662,5384.208043944332,7,50,500,7,60,5,3,10,30,50
753,58,5244.2080930436605,6,50,500,1,60,5,3,10,30,50
754,721,5275.313172591019,3,50,500,8,60,5,3,10,30,50
755,85,5391.290804571744,9,50,500,1,60,5,3,10,30,50
756,392,5416.622831216839,10,50,500,4,60,5,3,10,30,50
757,40,5308.835976541834,5,50,500,1,60,5,3,10,30,50
758,175,5316.32097648749,8,50,500,2,60,5,3,10,30,50
759,767,5338.765164467858,7,50,500,8,60,5,3,10,30,50
760,300,5319.639177185289,1,50,500,4,60,5,3,10,30,50
761,633,5356.445636084557,4,50,500,7,60,5,3,10,30,50
762,312,5280.155451413116,2,50,500,4,60,5,3,10,30,50
763,132,5210.9706591304,4,50,500,2,60,5,3,10,30,50
764,49,5327.33093779554,5,50,500,1,60,5,3,10,30,50
765,156,5256.715303622782,6,50,500,2,60,5,3,10,30,50
766,438,5330.738283382939,4,50,500,5,60,5,3,10,30,50
767,559,5335.706127411242,6,50,500,6,60,5,3,10,30,50
768,974,5402.233181124302,8,50,500,10,60,5,3,10,30,50
769,134,5381.008314855195,4,50,500,2,60,5,3,10,30,50
770,28,5344.74062949889,3,50,500,1,60,5,3,10,30,50
771,230,5212.880946840697,4,50,500,3,60,5,3,10,30,50
772,571,5429.357403368235,8,50,500,6,60,5,3,10,30,50
773,306,5381.3575402353545,1,50,500,4,60,5,3,10,30,50
774,192,5467.411499805414,10,50,500,2,60,5,3,10,30,50
775,802,5469.703878578607,1,50,500,9,60,5,3,10,30,50
776,594,5431.903264260891,10,50,500,6,60,5,3,10,30,50
777,126,5337.479705130984,3,50,500,2,60,5,3,10,30,50
778,588,5385.904695125421,9,50,500,6,60,5,3,10,30,50
779,255,5333.5886820762,6,50,500,3,60,5,3,10,30,50
780,906,5429.941830208575,1,50,500,10,60,5,3,10,30,50
781,161,5315.519538973391,7,50,500,2,60,5,3,10,30,50
782,631,5455.816607366819,4,50,500,7,60,5,3,10,30,50
783,211,5291.638769041864,2,50,500,3,60,5,3,10,30,50
784,498,5326.731381848938,10,50,500,5,60,5,3,10,30,50
785,951,5308.911315505704,6,50,500,10,60,5,3,10,30,50
786,266,5257.577064477555,7,50,500,3,60,5,3,10,30,50
787,572,5264.0291244435175,8,50,500,6,60,5,3,10,30,50
788,675,5265.238824167673,8,50,500,7,60,5,3,10,30,50
789,796,5287.783626972026,10,50,500,8,60,5,3,10,30,50
790,384,5321.426988962199,9,50,500,4,60,5,3,10,30,50
791,361,5225.847452055046,7,50,500,4,60,5,3,10,30,50
792,73,5230.724110034634,8,50,500,1,60,5,3,10,30,50
793,952,5458.502641323214,6,50,500,10,60,5,3,10,30,50
794,643,5358.747340848061,5,50,500,7,60,5,3,10,30,50
795,685,5278.321702853963,9,50,500,7,60,5,3,10,30,50
796,116,5227.613811928256,2,50,500,2,60,5,3,10,30,50
797,441,5208.61820084694,5,50,500,5,60,5,3,10,30,50
798,223,5248.974118708353,3,50,500,3,60,5,3,10,30,50
799,376,5365.4947986263915,8,50,500,4,60,5,3,10,30,50
800,355,5172.8767395343,6,50,500,4,60,5,3,10,30,50
801,19,5356.020951705427,2,50,500,1,60,5,3,10,30,50
802,282,5326.808524878379,9,50,500,3,60,5,3,10,30,50
803,474,5420.206890951553,8,50,500,5,60,5,3,10,30,50
804,61,5218.900964027146,7,50,500,1,60,5,3,10,30,50
805,186,5402.435838587046,9,50,500,2,60,5,3,10,30,50
806,68,5314.203964910914,7,50,500,1,60,5,3,10,30,50
807,529,5248.35710498945,3,50,500,6,60,5,3,10,30,50
808,844,5199.802336276711,5,50,500,9,60,5,3,10,30,50
809,421,5243.742030678805,3,50,500,5,60,5,3,10,30,50
810,541,5361.729496294025,5,50,500,6,60,5,3,10,30,50
811,272,5317.662753103658,8,50,500,3,60,5,3,10,30,50
812,486,5320.523732680296,9,50,500,5,60,5,3,10,30,50
813,454,5262.071270871034,6,50,500,5,60,5,3,10,30,50
814,931,5187.760701187339,4,50,500,10,60,5,3,10,30,50
815,836,5325.346180351747,4,50,500,9,60,5,3,10,30,50
816,202,5404.319049394422,1,50,500,3,60,5,3,10,30,50
817,89,5198.343873994295,9,50,500,1,60,5,3,10,30,50
818,897,5465.635399393661,10,50,500,9,60,5,3,10,30,50
819,396,5367.745236306071,10,50,500,4,60,5,3,10,30,50
820,426,5523.155129187865,3,50,500,5,60,5,3,10,30,50
821,247,5346.934377886743,5,50,500,3,60,5,3,10,30,50
822,502,5364.89738018814,1,50,500,6,60,5,3,10,30,50
823,31,5399.7886293858255,4,50,500,1,60,5,3,10,30,50
824,316,5353.82917886191,2,50,500,4,60,5,3,10,30,50
825,616,5247.095234646948,2,50,500,7,60,5,3,10,30,50
826,999,5385.883666131405,10,50,500,10,60,5,3,10,30,50
827,657,5364.477392677003,6,50,500,7,60,5,3,10,30,50
828,916,5249.6207373499765,2,50,500,10,60,5,3,10,30,50
829,434,5235.155187243713,4,50,500,5,60,5,3,10,30,50
830,728,5270.661162176443,3,50,500,8,60,5,3,10,30,50
831,555,5152.223414705516,6,50,500,6,60,5,3,10,30,50
832,130,5232.65894274364,4,50,500,2,60,5,3,10,30,50
833,24,5363.968612683827,3,50,500,1,60,5,3,10,30,50
834,145,5381.446708368214,5,50,500,2,60,5,3,10,30,50
835,351,5312.522888992488,6,50,500,4,60,5,3,10,30,50
836,7,5356.699995201194,1,50,500,1,60,5,3,10,30,50
837,177,5382.879958097497,8,50,500,2,60,5,3,10,30,50
838,579,5393.132533103967,8,50,500,6,60,5,3,10,30,50
839,979,5358.34654122038,8,50,500,10,60,5,3,10,30,50
840,929,5225.15077273949,3,50,500,10,60,5,3,10,30,50
841,699,5305.586625976822,10,50,500,7,60,5,3,10,30,50
842,598,5286.805608690716,10,50,500,6,60,5,3,10,30,50
843,237,5291.514481427363,4,50,500,3,60,5,3,10,30,50
844,290,5415.420639846423,10,50,500,3,60,5,3,10,30,50
845,97,5415.140890450672,10,50,500,1,60,5,3,10,30,50
846,382,5259.679679661079,9,50,500,4,60,5,3,10,30,50
847,608,5504.654141554322,1,50,500,7,60,5,3,10,30,50
848,883,5339.002190462004,9,50,500,9,60,5,3,10,30,50
849,4,5456.932015835459,1,50,500,1,60,5,3,10,30,50
850,937,5356.786666302357,4,50,500,10,60,5,3,10,30,50
851,514,5176.179390329719,2,50,500,6,60,5,3,10,30,50
852,466,5318.236672496126,7,50,500,5,60,5,3,10,30,50
853,905,5555.492424545746,1,50,500,10,60,5,3,10,30,50
854,770,5461.755647550205,8,50,500,8,60,5,3,10,30,50
855,410,5359.666426962378,2,50,500,5,60,5,3,10,30,50
856,969,5262.522370418905,7,50,500,10,60,5,3,10,30,50
857,792,5534.512401075939,10,50,500,8,60,5,3,10,30,50
858,388,5223.034368545931,9,50,500,4,60,5,3,10,30,50
859,545,5361.509480832384,5,50,500,6,60,5,3,10,30,50
860,128,5286.662924647815,3,50,500,2,60,5,3,10,30,50
861,833,5343.311821258762,4,50,500,9,60,5,3,10,30,50
862,647,5337.464183584194,5,50,500,7,60,5,3,10,30,50
863,681,5408.898567296376,9,50,500,7,60,5,3,10,30,50
864,112,5260.75557986221,2,50,500,2,60,5,3,10,30,50
865,445,5319.268252268993,5,50,500,5,60,5,3,10,30,50
866,84,5340.5532840007245,9,50,500,1,60,5,3,10,30,50
867,286,5359.42859709805,9,50,500,3,60,5,3,10,30,50
868,584,5289.042602204554,9,50,500,6,60,5,3,10,30,50
869,13,5465.7480682459545,2,50,500,1,60,5,3,10,30,50
870,607,5582.91255065482,1,50,500,7,60,5,3,10,30,50
871,346,5246.744811087253,5,50,500,4,60,5,3,10,30,50
872,373,5373.577234936431,8,50,500,4,60,5,3,10,30,50
873,276,5413.798223954085,8,50,500,3,60,5,3,10,30,50
874,482,5345.564044924184,9,50,500,5,60,5,3,10,30,50
875,450,5457.008095328169,6,50,500,5,60,5,3,10,30,50
876,808,5566.450246619116,1,50,500,9,60,5,3,10,30,50
877,50,5278.993319596871,6,50,500,1,60,5,3,10,30,50
878,206,5561.049285498021,1,50,500,3,60,5,3,10,30,50
879,786,5338.611393727402,9,50,500,8,60,5,3,10,30,50
880,637,5278.92516154625,4,50,500,7,60,5,3,10,30,50
881,875,5489.880685900536,8,50,500,9,60,5,3,10,30,50
882,243,5427.867788384948,5,50,500,3,60,5,3,10,30,50
883,404,5497.515157101254,1,50,500,5,60,5,3,10,30,50
884,891,5362.332473642802,10,50,500,9,60,5,3,10,30,50
885,47,5420.561572815316,5,50,500,1,60,5,3,10,30,50
886,612,5428.761217960091,2,50,500,7,60,5,3,10,30,50
887,900,5439.123982926127,1,50,500,10,60,5,3,10,30,50
888,321,5244.533763258915,3,50,500,4,60,5,3,10,30,50
889,709,5414.669582539072,1,50,500,8,60,5,3,10,30,50
890,912,5225.301824590342,2,50,500,10,60,5,3,10,30,50
891,867,5388.615278732156,7,50,500,9,60,5,3,10,30,50
892,745,5230.662557618656,5,50,500,8,60,5,3,10,30,50
893,670,5283.268487937913,8,50,500,7,60,5,3,10,30,50
894,533,5361.641086689141,4,50,500,6,60,5,3,10,30,50
895,653,5359.293828146408,6,50,500,7,60,5,3,10,30,50
896,768,5316.466308256394,7,50,500,8,60,5,3,10,30,50
897,538,5489.602257070251,4,50,500,6,60,5,3,10,30,50
898,587,5308.416876130347,9,50,500,6,60,5,3,10,30,50
899,21,5220.462407840567,3,50,500,1,60,5,3,10,30,50
900,233,5345.1956911834495,4,50,500,3,60,5,3,10,30,50
901,294,5347.850943070712,10,50,500,3,60,5,3,10,30,50
902,819,5217.228028321213,2,50,500,9,60,5,3,10,30,50
903,322,5297.146898049027,3,50,500,4,60,5,3,10,30,50
904,469,5375.727097770027,7,50,500,5,60,5,3,10,30,50
905,510,5188.77375830098,2,50,500,6,60,5,3,10,30,50
906,887,5318.598145431912,9,50,500,9,60,5,3,10,30,50
907,948,5381.21690631246,5,50,500,10,60,5,3,10,30,50
908,694,5380.439333440157,10,50,500,7,60,5,3,10,30,50
909,338,5223.233636368349,4,50,500,4,60,5,3,10,30,50
910,518,5335.3710167680165,2,50,500,6,60,5,3,10,30,50
911,623,5435.910825579496,3,50,500,7,60,5,3,10,30,50
912,941,5239.482021343563,5,50,500,10,60,5,3,10,30,50
913,752,5247.4483733287,6,50,500,8,60,5,3,10,30,50
914,142,5297.979848934422,5,50,500,2,60,5,3,10,30,50
915,774,5389.458756600318,8,50,500,8,60,5,3,10,30,50
916,414,5237.447738648613,2,50,500,5,60,5,3,10,30,50
917,888,5377.636497319603,9,50,500,9,60,5,3,10,30,50
918,218,5289.014938244142,2,50,500,3,60,5,3,10,30,50
919,369,5418.634320471356,7,50,500,4,60,5,3,10,30,50
920,756,5364.397004383073,6,50,500,8,60,5,3,10,30,50
