,Run,Wealth,ex_mod,ex_ratio,height,inheritance_rule,init_agents,init_poll,max_age,max_init_sugar,max_metabolism,max_vision,min_age,poll_growth_rule,width
251,253,10.583370469540956,2.7777777777777777,9.0,50,True,500,2,60,5,3,10,30,False,50
252,109,10.74349299428337,3.6666666666666665,4.0,50,True,500,2,60,5,3,10,30,False,50
253,132,10.930601297249416,2.7777777777777777,5.0,50,True,500,2,60,5,3,10,30,False,50
254,288,10.844761975238175,3.6666666666666665,10.0,50,True,500,2,60,5,3,10,30,False,50
255,289,10.808500805117468,3.6666666666666665,10.0,50,True,500,2,60,5,3,10,30,False,50
256,260,10.70174104259774,3.6666666666666665,9.0,50,True,500,2,60,5,3,10,30,False,50
257,92,10.333447753213807,1.0,4.0,50,True,500,2,60,5,3,10,30,False,50
258,167,10.83297727189395,3.2222222222222223,6.0,50,True,500,2,60,5,3,10,30,False,50
259,123,10.416762354094221,1.4444444444444444,5.0,50,True,500,2,60,5,3,10,30,False,50
260,213,10.169664055689953,1.4444444444444444,8.0,50,True,500,2,60,5,3,10,30,False,50
261,46,10.852040401234568,3.2222222222222223,2.0,50,True,500,2,60,5,3,10,30,False,50
262,8,11.127116064814816,1.8888888888888888,1.0,50,True,500,2,60,5,3,10,30,False,50
263,74,10.742664800941483,2.7777777777777777,3.0,50,True,500,2,60,5,3,10,30,False,50
264,100,10.882547945834744,2.333333333333333,4.0,50,True,500,2,60,5,3,10,30,False,50
265,117,11.5833596875,5.0,4.0,50,True,500,2,60,5,3,10,30,False,50
266,269,10.597496664354326,5.0,9.0,50,True,500,2,60,5,3,10,30,False,50
267,49,10.552492222222222,3.6666666666666665,2.0,50,True,500,2,60,5,3,10,30,False,50
268,285,10.66885994124405,3.2222222222222223,10.0,50,True,500,2,60,5,3,10,30,False,50
269,10,10.79821875,2.333333333333333,1.0,50,True,500,2,60,5,3,10,30,False,50
270,170,11.103448818020702,3.6666666666666665,6.0,50,True,500,2,60,5,3,10,30,False,50
271,82,10.92654259344993,4.111111111111111,3.0,50,True,500,2,60,5,3,10,30,False,50
272,226,10.980908212437173,3.2222222222222223,8.0,50,True,500,2,60,5,3,10,30,False,50
273,90,10.569344163991632,1.0,4.0,50,True,500,2,60,5,3,10,30,False,50
274,277,10.169768404002545,1.8888888888888888,10.0,50,True,500,2,60,5,3,10,30,False,50
275,142,11.206033750744204,4.111111111111111,5.0,50,True,500,2,60,5,3,10,30,False,50
276,166,11.360649538414187,3.2222222222222223,6.0,50,True,500,2,60,5,3,10,30,False,50
277,199,10.498216771024172,3.6666666666666665,7.0,50,True,500,2,60,5,3,10,30,False,50
278,24,11.316877499999999,4.555555555555555,1.0,50,True,500,2,60,5,3,10,30,False,50
279,183,10.106050852926588,1.4444444444444444,7.0,50,True,500,2,60,5,3,10,30,False,50
280,37,10.755147103227726,1.8888888888888888,2.0,50,True,500,2,60,5,3,10,30,False,50
281,28,11.050135625000001,5.0,1.0,50,True,500,2,60,5,3,10,30,False,50
282,112,11.227734320987654,4.111111111111111,4.0,50,True,500,2,60,5,3,10,30,False,50
283,54,10.890396805555556,4.555555555555555,2.0,50,True,500,2,60,5,3,10,30,False,50
284,212,9.90993336516387,1.0,8.0,50,True,500,2,60,5,3,10,30,False,50
285,276,9.939254409364638,1.8888888888888888,10.0,50,True,500,2,60,5,3,10,30,False,50
286,85,10.851731575788754,4.555555555555555,3.0,50,True,500,2,60,5,3,10,30,False,50
287,139,10.91297538221951,3.6666666666666665,5.0,50,True,500,2,60,5,3,10,30,False,50
288,68,10.93003396313311,1.8888888888888888,3.0,50,True,500,2,60,5,3,10,30,False,50
